V1,V2
TSPAN8,TTK
TSPAN8,CRABP2
TTK,UBE2C
TTK,UBE2T
TTK,UNG
TTK,USP28
TTK,USP39
TTK,WDR17
TTK,YARS2
TTK,ZNF492
TTK,ZWINT
TTK,CRABP2
TTK,VAX2
TTK,WDR66
UBE2C,WDR17
UBE2C,ZWINT
UBE2C,CRABP2
UBE2T,UNG
UBE2T,USP28
UBE2T,USP39
UBE2T,VGLL1
UBE2T,YARS2
UBE2T,ZNF492
UBE2T,CRABP2
UNG,USP39
UNG,YARS2
UNG,CRABP2
UNG,WDR66
USP28,ZWINT
USP28,CRABP2
USP39,YARS2
USP39,ZWINT
USP39,CRABP2
USP39,WDR66
VGLL1,CRABP2
WDR17,CRABP2
YARS2,ZNF492
YARS2,ZWINT
YARS2,CRABP2
ZNF492,CRABP2
ZWINT,CRABP2
VAX2,WDR66
