"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STMN1",-1.81798067797986,2.44249065417534e-16,-7.02545990751973,4.95192994694249e-12,1.64122749358073e-10,17.5128912114417
"SOCS2",1.79710584835463,5.82867087928207e-17,6.94479058007048,8.48148450762637e-12,1.64122749358073e-10,16.9546048904922
"TBX19",-1.78253734425826,9.15933995315754e-16,-6.88849160908507,1.23092062018555e-11,1.64122749358073e-10,16.5687979367854
"NDC1",-1.75736504273135,-8.2052420413703e-16,-6.79121500031837,2.32873953792146e-11,2.32873953792146e-10,15.9095791696437
"SNRPB",-1.70532608290006,5.72025066203352e-16,-6.5901140588441,8.49214360761535e-11,5.71122133017787e-10,14.5764945678979
"PDE8B",1.70496932621739,-6.93889390390723e-17,6.5887353974528,8.5668319952668e-11,5.71122133017787e-10,14.5674938019583
"SPAG6",1.69258897921441,-2.22044604925031e-17,6.5408924073902,1.15977655761301e-10,6.01601087957093e-10,14.2563113584064
"TEDC2",-1.69108139377494,9.69276742202041e-17,-6.53506644829697,1.20320217591419e-10,6.01601087957093e-10,14.2185727975988
"SPAG5",-1.67052087179424,-5.6621374255883e-16,-6.45561174088304,1.98087695298007e-10,8.80389756880031e-10,13.7072492248748
"MAST4",1.6598664386175,-1.08836550882785e-15,6.41443842478174,2.55961067091174e-10,1.02384426836469e-09,13.44474249378
"MIR22HG",1.64066792044927,6.95277169171504e-16,6.34024708638724,4.04791207439382e-10,1.34930402479794e-09,12.9759643897705
"MIR22",1.64066792044927,6.95277169171504e-16,6.34024708638724,4.04791207439382e-10,1.34930402479794e-09,12.9759643897705
"MCM6",-1.63724607007852,-3.57006091356027e-16,-6.32702358358523,4.39039318078091e-10,1.35089020947105e-09,12.892984296289
"SLC39A4",-1.63053342411744,-5.79397640976254e-17,-6.3010830300666,5.14653902016901e-10,1.46101377633436e-09,12.7307054780969
"MELK",-1.62788416587826,1.52655665885959e-17,-6.29084515583096,5.47880166125387e-10,1.46101377633436e-09,12.6668429089247
"MCM4",-1.61370278014034,-8.75167993630299e-16,-6.23604217682156,7.64693909384566e-10,1.91173477346142e-09,12.3267546053688
"TACC3",-1.60930581021703,-2.41473507855972e-16,-6.21905039231858,8.47548650007614e-10,1.99423211766497e-09,12.2219138095628
"MRGBP",-1.59917172165122,-2.32452945780892e-16,-6.17988791178143,1.0733464507068e-09,2.3172340137318e-09,11.9813673059625
"SIX2",-1.59808928240523,1.65579355781986e-16,-6.17570490058822,1.1006861565226e-09,2.3172340137318e-09,11.9557639454315
"SPACA9",1.59411691690386,-3.77475828372553e-16,6.16035397034682,1.20697172593358e-09,2.41394345186717e-09,11.8619525731116
"MIR3917",-1.57594718227502,-2.04870842512861e-16,-6.09013829439857,1.83538619393313e-09,3.28648658908953e-09,11.4358325134827
"SLC9C2",1.57096754612439,9.29811783123569e-17,6.07089483677879,2.05732939444654e-09,3.28648658908953e-09,11.3199019525935
"MFAP2",-1.5706943801388,5.97438765126412e-16,-6.06983920582346,2.07023450905207e-09,3.28648658908953e-09,11.3135530097095
"NREP",-1.56880009183727,-2.84841594755392e-16,-6.06251886041118,2.16192554498218e-09,3.28648658908953e-09,11.2695562035796
"SLC4A3",-1.56860642983037,5.01248348383498e-16,-6.06177046705276,2.17151992213269e-09,3.28648658908953e-09,11.2650611944933
"SPDL1",-1.56854091652966,-1.59594559789866e-17,-6.061517295458,2.17477497205844e-09,3.28648658908953e-09,11.2635407178652
"THBS3",-1.56767243522291,-1.16573417585641e-16,-6.05816110984232,2.21837844763543e-09,3.28648658908953e-09,11.2433904220859
"SETDB1",-1.56404548810998,2.019218126037e-16,-6.0441450249426,2.40988204503574e-09,3.44268863576535e-09,11.1593594840469
"MROH9",1.55943932722154,-5.6395860204006e-16,6.02634483650208,2.67646691262942e-09,3.6916785001785e-09,11.0529221830742
"SMAD6",-1.55214607037543,4.44089209850063e-17,-5.99816055259399,3.15845488291063e-09,4.09628629698966e-09,10.8850345973171
"RPL10",-1.55192072734421,3.49720252756924e-16,-5.9972897301202,3.17462188016699e-09,4.09628629698966e-09,10.8798598333989
"SORBS2",1.5373405265218,2.08622182029661e-16,5.94094555795041,4.41135492298099e-09,5.51419365372624e-09,10.5466379657764
"TM9SF4",-1.52488614127731,-6.99440505513849e-16,-5.89281645225213,5.8304809817746e-09,7.02460174337197e-09,10.2644912622441
"OSBPL2",-1.52381936770512,8.25901846912558e-16,-5.88869397996593,5.97091148186617e-09,7.02460174337197e-09,10.2404308494245
"MBD3L1",1.51975477860354,3.02882718905551e-16,5.87298665803474,6.536821969013e-09,7.470653678872e-09,10.1489108759549
"SOX3",1.5137046291946,-2.10248485288389e-16,5.8496062763718,7.47715922847868e-09,8.01012674605154e-09,10.0131359300547
"MCM2",-1.51336560626179,-2.21350715534641e-16,-5.84829614582364,7.53358177790224e-09,8.01012674605154e-09,10.0055437425527
"SLC6A8",-1.5129126104507,1.38777878078145e-17,-5.84654557501304,7.60962040874896e-09,8.01012674605154e-09,9.99540186439489
"SLC6A10PB",-1.51161425054146,2.26207941267376e-16,-5.84152815343187,7.83172658382094e-09,8.03254008597019e-09,9.96635040903809
"SNRPF",-1.50083790300796,-1.47278023110431e-16,-5.79988370777679,9.93587713457754e-09,9.93587713457754e-09,9.72618685740863
