"p","outcome"
0.00823413085782828,1
0.932307163274729,1
0.728725888321178,1
0.457205943003329,1
0.709262796177513,1
0.556823670279969,1
0.951007279729497,1
0.0359056247799671,1
0.407002356994589,1
0.849441461357186,1
0.953264863077271,1
0.71160385657587,1
0.038202020924474,1
0.0256424508826859,1
0.0105804478212087,1
0.0178539520649556,1
0.0771113686181368,1
0.00532500681086966,1
0.0088194285661411,1
0.841893653462293,1
0.888447626675,1
0.935525370492089,1
0.345509056045893,1
0.991076089559519,1
0.233022768514644,1
0.384901911102268,1
0.077082213914821,1
0.0311329529445505,1
0.0169566047078293,1
0.430325491035364,0
0.061939126421104,0
0.329462782548404,0
0.0221217681191085,0
0.0750393249437296,0
0.0646660367644154,0
0.0045724716672367,0
0.244671511394415,0
0.97543587811512,0
0.287786106475887,0
0.388914074429506,0
0.184815904629929,0
0.466312529741919,0
0.323942814601704,0
0.0763248246917461,0
0.116074664893878,0
0.29705652392019,0
0.0684730388891435,0
0.0187536963131347,0
0.88963492325328,0
0.129798282953474,0
0.721201801406795,0
0.00136642998923094,0
0.00570957612941198,0
0.00404092124828299,0
0.0346653606667879,0
0.851897456586354,0
0.00987110701869496,0
0.0248183649225401,0
0.0422111684096993,0
0.0512136570226656,0
0.00241094915437016,0
0.0083856566141557,0
0.00896281300335101,0
0.679760004164879,0
0.00246435282357543,0
0.0140053440289226,0
0.00845202288064371,0
0.0780816338513466,0
0.37354937818498,0
0.0132219573029024,0
0.813760855856068,0
0.0347041043872126,0
0.0466534995373162,0
0.0736741534034841,0
0.00398534218855839,0
0.237179135600266,0
0.116172115684594,0
0.0407991658841925,0
0.0955564549523137,0
0.872773434433514,0
0.0117708041310313,0
0.357419729051692,0
0.588285511762095,0
0.0952288540461897,0
0.462446871152639,0
0.126793131601028,0
0.0225894410535741,0
0.0320789458504985,0
0.124077196680291,0
0.272091152559264,0
0.591397870066855,0
0.0278439989670919,0
0.00526864847579318,0
0.0481407810505475,0
0.994355743279527,0
0.886937180838101,0
0.0126871528438685,0
