"AB-RFE","DT-RFE","GBDT-RFE","NB-RFE","NNET-RFE","RF-RFE","SVM-RFE","XGB-RFE"
"TTK","TTK","STMN1","TTK","CRISP3","TTK","CRISP3","ZHX1-C8orf76"
"UBE2C","UBE2C","SOCS2","STMN1","CRABP2","UBE2C","CRISP2","ZBBX"
"TOP2A","ZHX1-C8orf76","TBX19","UBE2C","DLC1","TOP2A","CRABP2","ADGB"
"ZHX1-C8orf76","ZBBX","NDC1","TOP2A","PTGS2","ZHX1-C8orf76","NUF2","WDR66"
"ZBBX","WDR66","SNRPB","TBX19","CD69","ZBBX","AURKA","ALDH1A1"
"TTC25","TPX2","PDE8B","ZHX1-C8orf76","TBX19","TTC25","C6","AGR2"
"WDR66","TROAP","SPAG6","TPX2","ZHX1-C8orf76","WDR66","SCN1A","ACSL5"
"TPX2","VNN1","TEDC2","TROAP","NDC1","TPX2","GINS1","ACKR4"
"TROAP","VNN2","SPAG5","SNRPB","IL33","VNN1","KIF20A","ALG3"
"VNN1","TUBA4B","MAST4","TEDC2","DIXDC1","VNN2","STMN1","ALDH1A2"
"VNN2","TTC29","MIR22HG","ZWINT","ALDH1A1","TTC29","DLC1","AHI1"
"ZWINT","ZWINT","MIR22","SPAG5","TACC1","ZWINT","EFNA4","ABR"
"VWA3B","VWA3B","MCM6","TOMM40","PLXNA1","VWA3B","PTGS2","AGBL2"
"TOMM40","WDR49","SLC39A4","SLC39A4","NFKBIZ","TOMM40","EZH2","ZWINT"
"WDR49","TPPP3","MELK","TACC3","POLE2","WDR49","FABP6","ACTR2"
"TPPP3","USP19","MCM4","STX10","FGF2","TPPP3","TBX19","VWA3B"
"VNN3","VNN3","TACC3","TNNT1","RUNX1T1","USP19","ZHX1-C8orf76","WDR49"
"TSGA10","TSGA10","MRGBP","WDR12","KLK6","VNN3","RIPOR2","VNN3"
"TNNT1","WDR12","SIX2","USP5","LAMA2","TSGA10","CCDC81","WDR12"
"WDR12","USP5","SPACA9","SIX2","CDKN1A","TNNT1","MAK","AFF1"
